Country,Year,Inflow,Nationality,Perc_In_To_Nationality
Australia,2000,4582.0,2475.0,54.0157136622
Australia,2001,5812.0,2356.0,40.5368203716
Australia,2002,7573.0,2549.0,33.6590518949
Australia,2003,8194.0,3116.0,38.027825238
Australia,2004,11278.0,3748.0,33.2328427026
Australia,2005,12788.0,5167.0,40.4050672505
Australia,2006,15240.0,7638.0,50.1181102362
Australia,2007,19823.0,13026.0,65.7115471927
Australia,2008,22725.0,9119.0,40.1276127613
Australia,2009,25309.0,9124.0,36.0504168478
Australia,2010,23512.0,17788.0,75.6549846887
Australia,2011,21878.0,12948.0,59.1827406527
Australia,2012,27865.0,10076.0,36.1600574197
Australia,2013,38161.0,19217.0,50.357695029
Australia,2014,39701.0,27827.0,70.0914334652
Canada,2000,26123.0,18681.0,71.5116946752
Canada,2001,27904.0,14029.0,50.2759461009
Canada,2002,28838.0,12623.0,43.7721062487
Canada,2003,27155.0,13934.0,51.3128337323
Canada,2004,28235.0,21826.0,77.3012218877
Canada,2005,36210.0,22068.0,60.9444904722
Canada,2006,33848.0,33974.0,100.372252423
Canada,2007,28742.0,25796.0,89.7501913576
Canada,2008,28261.0,20837.0,73.7305827819
Canada,2009,29456.0,17398.0,59.0643671917
Canada,2010,34235.0,18970.0,55.4111289616
Canada,2011,27509.0,22235.0,80.8280926242
Canada,2012,30933.0,13468.0,43.5392622765
Canada,2013,33087.0,15418.0,46.5983618944
Canada,2014,38342.0,26557.0,69.2634708675
France,2000,1004.0,417.0,41.5338645418
France,2001,1142.0,367.0,32.1366024518
France,2002,1261.0,424.0,33.6241078509
France,2003,1221.0,423.0,34.6437346437
France,2004,1155.0,0.0,0.0
France,2005,1104.0,571.0,51.7210144928
France,2006,1551.0,0.0,0.0
France,2007,1769.0,0.0,0.0
France,2008,1816.0,470.0,25.8810572687
France,2009,1880.0,492.0,26.170212766
France,2010,1976.0,454.0,22.975708502
France,2011,2136.0,385.0,18.0243445693
France,2012,2285.0,349.0,15.2735229759
France,2013,2505.0,370.0,14.7704590818
France,2014,2557.0,384.0,15.0175987485
Germany,2000,6544.0,1317.0,20.1253056235
Germany,2001,8949.0,1140.0,12.7388535032
Germany,2002,9433.0,945.0,10.0180218382
Germany,2003,9227.0,947.0,10.2633575377
Germany,2004,9125.0,978.0,10.7178082192
Germany,2005,8364.0,868.0,10.3778096604
Germany,2006,8911.0,908.0,10.1896532376
Germany,2007,9367.0,854.0,9.11711326999
Germany,2008,11403.0,751.0,6.585986144
Germany,2009,12009.0,897.0,7.46939795154
Germany,2010,13187.0,928.0,7.03723363919
Germany,2011,15352.0,865.0,5.63444502345
Germany,2012,18063.0,946.0,5.23722526712
Germany,2013,19455.0,1190.0,6.11667951683
Italy,2000,4655.0,0.0,0.0
Italy,2001,4489.0,0.0,0.0
Italy,2002,4841.0,0.0,0.0
Italy,2003,8489.0,0.0,0.0
Italy,2004,9022.0,0.0,0.0
Italy,2005,7172.0,0.0,0.0
Italy,2006,6292.0,0.0,0.0
Italy,2007,7112.0,188.0,2.64341957255
Italy,2008,12469.0,672.0,5.38936562675
Italy,2009,12769.0,894.0,7.00133134936
Italy,2010,15246.0,1261.0,8.27102190739
Italy,2011,13327.0,1051.0,7.88624596683
Italy,2012,11158.0,2366.0,21.2045169385
Italy,2013,10814.0,4863.0,44.9694840022
Italy,2014,11052.0,0.0,0.0
Spain,2000,648.0,232.0,35.8024691358
Spain,2001,835.0,287.0,34.371257485
Spain,2002,887.0,271.0,30.5524239008
Spain,2003,1330.0,293.0,22.030075188
Spain,2004,3709.0,295.0,7.95362631437
Spain,2005,4929.0,248.0,5.03144654088
Spain,2006,4212.0,250.0,5.93542260209
Spain,2007,5569.0,231.0,4.14796193212
Spain,2008,5024.0,280.0,5.57324840764
Spain,2009,4280.0,215.0,5.02336448598
Spain,2010,3382.0,307.0,9.07746895328
Spain,2011,3649.0,320.0,8.76952589751
Spain,2012,2932.0,315.0,10.7435197817
Spain,2013,2827.0,1042.0,36.8588609834
Spain,2014,2938.0,527.0,17.9373723622
Sweden,2000,369.0,173.0,46.8834688347
Sweden,2001,428.0,192.0,44.8598130841
Sweden,2002,556.0,142.0,25.5395683453
Sweden,2003,752.0,120.0,15.9574468085
Sweden,2004,834.0,142.0,17.0263788969
Sweden,2005,1077.0,185.0,17.1773444754
Sweden,2006,1024.0,332.0,32.421875
Sweden,2007,1146.0,206.0,17.9755671902
Sweden,2008,1548.0,205.0,13.2428940568
Sweden,2009,1795.0,207.0,11.5320334262
Sweden,2010,2150.0,195.0,9.06976744186
Sweden,2011,1691.0,177.0,10.4671791839
Sweden,2012,2027.0,236.0,11.6428219043
Sweden,2013,2376.0,325.0,13.6784511785
Sweden,2014,3004.0,306.0,10.1864181092
Switzerland,2010,2371.0,0.0,0.0
Switzerland,2011,2410.0,0.0,0.0
Switzerland,2012,2584.0,0.0,0.0
