Country,Indicator,Value,year
Australia,Air pollution,6.0,2016
Australia,Employees working very long hours,13.39,2016
Australia,Employment rate,72.0,2016
Australia,Feeling safe walking alone at night,62.6,2016
Australia,Housing expenditure,20.0,2016
Australia,Life expectancy,82.2,2016
Australia,Life satisfaction,7.3,2016
Australia,Long-term unemployment rate,1.32,2016
Australia,Rooms per person,2.3,2016
Australia,Self-reported health,85.0,2016
Australia,Time devoted to leisure and personal care,14.35,2016
Australia,Water quality,94.0,2016
Canada,Air pollution,12.0,2016
Canada,Employees working very long hours,3.83,2016
Canada,Employment rate,72.0,2016
Canada,Feeling safe walking alone at night,81.7,2016
Canada,Housing expenditure,21.0,2016
Canada,Life expectancy,81.5,2016
Canada,Life satisfaction,7.4,2016
Canada,Long-term unemployment rate,0.89,2016
Canada,Rooms per person,2.5,2016
Canada,Self-reported health,89.0,2016
Canada,Time devoted to leisure and personal care,14.41,2016
Canada,Water quality,90.0,2016
France,Air pollution,14.0,2016
France,Employees working very long hours,7.77,2016
France,Employment rate,64.0,2016
France,Feeling safe walking alone at night,70.6,2016
France,Housing expenditure,21.0,2016
France,Life expectancy,82.3,2016
France,Life satisfaction,6.4,2016
France,Long-term unemployment rate,4.21,2016
France,Rooms per person,1.8,2016
France,Self-reported health,67.0,2016
France,Time devoted to leisure and personal care,16.36,2016
France,Water quality,84.0,2016
Germany,Air pollution,15.0,2016
Germany,Employees working very long hours,4.96,2016
Germany,Employment rate,74.0,2016
Germany,Feeling safe walking alone at night,74.6,2016
Germany,Housing expenditure,22.0,2016
Germany,Life expectancy,80.9,2016
Germany,Life satisfaction,7.0,2016
Germany,Long-term unemployment rate,2.21,2016
Germany,Rooms per person,1.8,2016
Germany,Self-reported health,65.0,2016
Germany,Time devoted to leisure and personal care,15.55,2016
Germany,Water quality,94.0,2016
Italy,Air pollution,18.0,2016
Italy,Employees working very long hours,3.83,2016
Italy,Employment rate,57.0,2016
Italy,Feeling safe walking alone at night,59.3,2016
Italy,Housing expenditure,24.0,2016
Italy,Life expectancy,82.8,2016
Italy,Life satisfaction,5.8,2016
Italy,Long-term unemployment rate,7.79,2016
Italy,Rooms per person,1.4,2016
Italy,Self-reported health,66.0,2016
Italy,Time devoted to leisure and personal care,14.89,2016
Italy,Water quality,70.0,2016
Spain,Air pollution,12.0,2016
Spain,Employees working very long hours,5.61,2016
Spain,Employment rate,57.0,2016
Spain,Feeling safe walking alone at night,81.6,2016
Spain,Housing expenditure,23.0,2016
Spain,Life expectancy,83.2,2016
