Country,Year,Inflow,Nationality,Perc_In_To_Nationality,ScaledValueInflow,ScaledValueNationality
Australia,2000,4582.0,2475.0,54.0157136622,19.13,15.28
Canada,2000,26123.0,18681.0,71.5116946752,65.81,49.84
France,2000,1004.0,417.0,41.5338645418,11.38,10.89
Germany,2000,6544.0,1317.0,20.1253056235,23.38,12.81
Italy,2000,4655.0,0.0,0.0,19.29,10.0
Spain,2000,648.0,232.0,35.8024691358,10.6,10.49
Sweden,2000,369.0,173.0,46.8834688347,10.0,10.37
United Kingdom,2000,17150.0,8135.0,47.4344023324,46.36,27.35
United States,2000,41903.0,42198.0,100.704006873,100.0,100.0
Australia,2001,5812.0,2356.0,40.5368203716,16.96,16.18
Canada,2001,27904.0,14029.0,50.2759461009,45.53,46.8
France,2001,1142.0,367.0,32.1366024518,10.92,10.96
Germany,2001,8949.0,1140.0,12.7388535032,21.02,12.99
Italy,2001,4489.0,0.0,0.0,15.25,10.0
Spain,2001,835.0,287.0,34.371257485,10.53,10.75
Sweden,2001,428.0,192.0,44.8598130841,10.0,10.5
United Kingdom,2001,16001.0,8177.0,51.103056059,30.14,31.45
United States,2001,70032.0,34311.0,48.9933173406,100.0,100.0
Australia,2002,7573.0,2549.0,33.6590518949,18.99,16.8
Canada,2002,28838.0,12623.0,43.7721062487,46.22,43.67
France,2002,1261.0,424.0,33.6241078509,10.9,11.13
Germany,2002,9433.0,945.0,10.0180218382,21.37,12.52
Italy,2002,4841.0,0.0,0.0,15.49,10.0
Spain,2002,887.0,271.0,30.5524239008,10.42,10.72
Sweden,2002,556.0,142.0,25.5395683453,10.0,10.38
United Kingdom,2002,21000.0,10003.0,47.6333333333,36.19,36.68
United States,2002,70823.0,33737.0,47.6356550838,100.0,100.0
Australia,2003,8194.0,3116.0,38.027825238,23.54,19.42
Canada,2003,27155.0,13934.0,51.3128337323,58.03,52.14
France,2003,1221.0,423.0,34.6437346437,10.85,11.28
Germany,2003,9227.0,947.0,10.2633575377,25.42,12.86
Italy,2003,8489.0,0.0,0.0,24.07,10.0
Spain,2003,1330.0,293.0,22.030075188,11.05,10.89
Sweden,2003,752.0,120.0,15.9574468085,10.0,10.36
United Kingdom,2003,30000.0,10799.0,35.9966666667,63.2,42.66
United States,2003,50228.0,29761.0,59.2518117385,100.0,100.0
Australia,2004,11278.0,3748.0,33.2328427026,23.56,18.88
Canada,2004,28235.0,21826.0,77.3012218877,45.58,61.73
France,2004,1155.0,0.0,0.0,10.42,10.0
Germany,2004,9125.0,978.0,10.7178082192,20.76,12.32
Italy,2004,9022.0,0.0,0.0,20.63,10.0
Spain,2004,3709.0,295.0,7.95362631437,13.73,10.7
Sweden,2004,834.0,142.0,17.0263788969,10.0,10.34
United Kingdom,2004,51000.0,13598.0,26.662745098,75.13,42.23
United States,2004,70151.0,37975.0,54.1332268963,100.0,100.0
Australia,2005,12788.0,5167.0,40.4050672505,22.61,22.93
Canada,2005,36210.0,22068.0,60.9444904722,47.82,65.23
France,2005,1104.0,571.0,51.7210144928,10.03,11.43
Germany,2005,8364.0,868.0,10.3778096604,17.84,12.17
Italy,2005,7172.0,0.0,0.0,16.56,10.0
Spain,2005,4929.0,248.0,5.03144654088,14.15,10.62
Sweden,2005,1077.0,185.0,17.1773444754,10.0,10.46
United Kingdom,2005,47000.0,14137.0,30.0787234043,59.44,45.38
