"Rank","Economy","Strength / Weakness","Value","Score"
"1","New Zealand","Strength","100.0","100.0"
"2","The Former Yugoslav Republic (FYR) of Macedonia","Strength","99.9","99.9"
"3","Canada","Strength","98.2","98.2"
"4","Hong Kong (China)","","98.1","98.1"
"5","Armenia","Strength","97.8","97.8"
"6","Georgia","Strength","97.8","97.8"
"7","Azerbaijan","Strength","97.8","97.8"
"8","Lithuania","Strength","97.7","97.7"
"9","Jamaica","Strength","97.3","97.3"
"10","Singapore","","96.5","96.5"
"11","Australia","","96.5","96.5"
"12","Belarus","Strength","96.3","96.3"
"13","Portugal","Strength","96.3","96.3"
"14","Malaysia","","95.3","95.3"
"15","Estonia","","95.1","95.1"
"16","Sweden","","94.6","94.6"
"17","United Kingdom","","94.6","94.6"
"18","Slovenia","","94.5","94.5"
"19","Burundi","Strength","94.5","94.5"
"20","Belgium","","94.5","94.5"
"21","Kazakhstan","Strength","94.4","94.4"
"22","Korea, Republic of","","94.4","94.4"
"23","Norway","","94.3","94.3"
"24","Ireland","","94.2","94.2"
"25","Moldova, Republic of","Strength","94.2","94.2"
"26","Latvia","","94.2","94.2"
"27","Netherlands","","94.1","94.1"
"28","Denmark","","94.0","94.0"
"29","Ukraine","","93.9","93.9"
"30","France","","93.1","93.1"
"31","Finland","","93.1","93.1"
"32","Kyrgyzstan","Strength","92.9","92.9"
"33","Mongolia","","92.5","92.5"
"34","Mauritius","","92.5","92.5"
"35","Iceland","","92.4","92.4"
"36","Russian Federation","","92.3","92.3"
"37","Morocco","Strength","92.1","92.1"
"38","Panama","","92.0","92.0"
"39","Romania","","91.9","91.9"
"40","Côte d'Ivoire","Strength","91.4","91.4"
"41","United States of America","","91.2","91.2"
"42","Italy","","91.1","91.1"
"43","Bulgaria","","91.1","91.1"
"44","Greece","","90.7","90.7"
"45","Hungary","","90.6","90.6"
"46","Israel","","90.5","90.5"
"47","Tajikistan","Strength","90.3","90.3"
"48","Albania","","90.1","90.1"
"49","Montenegro","","90.1","90.1"
"50","United Arab Emirates","","90.0","90.0"
"51","Uruguay","","89.9","89.9"
"52","Chile","","89.8","89.8"
"53","Cyprus","","89.2","89.2"
"54","Mexico","","88.9","88.9"
"54","Serbia","","88.9","88.9"
"56","Slovakia","","88.5","88.5"
"57","Switzerland","Weakness","88.5","88.5"
"58","Egypt","","88.2","88.2"
"59","Burkina Faso","Strength","86.7","86.7"
"59","Zambia","Strength","86.7","86.7"
"61","Luxembourg","","86.5","86.5"
"62","Japan","","86.3","86.3"
"63","Spain","Weakness","86.3","86.3"
"64","Croatia","","86.2","86.2"
"65","Colombia","","86.1","86.1"
"66","Senegal","","85.9","85.9"
"66","Poland","","85.9","85.9"
"68","Iran, Islamic Republic of","","85.7","85.7"
"69","Jordan","","85.7","85.7"
"70","Bhutan","","85.6","85.6"
"71","Czech Republic","","85.2","85.2"
"72","Turkey","","85.2","85.2"
"73","Thailand","","85.1","85.1"
"74","Peru","","85.0","85.0"
"75","Sri Lanka","","85.0","85.0"
"76","Guatemala","","83.9","83.9"
"77","Ghana","","83.7","83.7"
"78","Tunisia","","83.6","83.6"
"79","Nepal","","83.5","83.5"
"80","Austria","Weakness","83.5","83.5"
"81","Germany","Weakness","83.4","83.4"
"82","Qatar","","83.2","83.2"
"83","Dominican Republic","","83.1","83.1"
"84","Rwanda","","83.0","83.0"
"85","Lebanon","","82.7","82.7"
"86","Benin","","82.2","82.2"
"87","Bangladesh","","81.7","81.7"
"88","Viet Nam","","81.3","81.3"
"89","South Africa","","81.2","81.2"
"90","Costa Rica","","81.0","81.0"
"91","Pakistan","","80.9","80.9"
"92","Nicaragua","","80.5","80.5"
"93","Mozambique","","80.2","80.2"
"94","El Salvador","","80.2","80.2"
"95","Guinea","","80.0","80.0"
"96","Madagascar","","79.6","79.6"
"97","Tanzania, United Republic of","","79.6","79.6"
"98","Saudi Arabia","Weakness","78.7","78.7"
"99","Malta","Weakness","78.4","78.4"
"100","Togo","","78.4","78.4"
"101","Niger","","77.6","77.6"
"102","Paraguay","","77.5","77.5"
"103","China","","77.5","77.5"
"104","Cameroon","","77.4","77.4"
"105","Nigeria","","77.1","77.1"
"106","Bahrain","","77.1","77.1"
"107","Botswana","","76.2","76.2"
"108","Algeria","","76.1","76.1"
"109","Kuwait","","75.4","75.4"
"110","Oman","","75.0","75.0"
"111","Honduras","","74.9","74.9"
"112","Kenya","","74.5","74.5"
"113","Yemen","","74.2","74.2"
"114","India","Weakness","73.6","73.6"
"115","Argentina","","73.4","73.4"
"116","Malawi","","69.7","69.7"
"117","Namibia","Weakness","68.9","68.9"
"118","Philippines","Weakness","68.6","68.6"
"119","Ecuador","Weakness","68.5","68.5"
"120","Uganda","","67.8","67.8"
"121","Mali","","66.0","66.0"
"122","Indonesia","Weakness","66.0","66.0"
"123","Brazil","Weakness","64.3","64.3"
"124","Bosnia and Herzegovina","Weakness","63.5","63.5"
"125","Ethiopia","Weakness","62.5","62.5"
"126","Bolivia, Plurinational State of","Weakness","59.7","59.7"
"127","Cambodia","Weakness","58.1","58.1"
"128","Venezuela, Bolivarian Republic of","Weakness","40.4","40.4"
"129","Virgin Islands, British","","-","0.0"
"129","Virgin Islands, U.S.","","-","0.0"
"129","Holy See (Vatican City State)","","-","0.0"
"129","Saint Vincent and the Grenadines","","86.7","0.0"
"129","Tuvalu","","-","0.0"
"129","Taiwan, Province of China","","94.4","0.0"
"129","Tokelau","","-","0.0"
"129","Turkmenistan","","-","0.0"
"129","Timor-Leste","","83.6","0.0"
"129","Tonga","","90.7","0.0"
"129","Vanuatu","","75.5","0.0"
"129","Samoa","","92.5","0.0"
"129","Sudan (pre-secession)","","-","0.0"
"129","Palau","","81.8","0.0"
"129","Papua New Guinea","","77.3","0.0"
"129","Puerto Rico","","91.1","0.0"
"129","Korea, Democratic People's Republic of","","-","0.0"
"129","Palestinian Territory, Occupied","","-","0.0"
"129","French Polynesia","","-","0.0"
"129","Réunion","","-","0.0"
"129","San Marino","","82.7","0.0"
"129","Somalia","","-","0.0"
"129","Sint Maarten (Dutch part)","","-","0.0"
"129","Turks and Caicos Islands","","-","0.0"
"129","Chad","","41.9","0.0"
"129","Solomon Islands","","85.1","0.0"
"129","Sierra Leone","","84.7","0.0"
"129","South Sudan","","54.0","0.0"
"129","Sao Tome and Principe","","93.8","0.0"
"129","Suriname","","48.8","0.0"
"129","Kiribati","","76.5","0.0"
"129","Saint Kitts and Nevis","","85.7","0.0"
"129","Kosovo","","91.3","0.0"
"129","Liberia","","92.5","0.0"
"129","Libya","","72.6","0.0"
"129","Saint Lucia","","88.7","0.0"
"129","Liechtenstein","","-","0.0"
"129","Isle of Man","","-","0.0"
"129","Haiti","","33.5","0.0"
"129","Jersey","","-","0.0"
"129","Mauritania","","88.5","0.0"
"129","Montserrat","","-","0.0"
"129","Martinique","","-","0.0"
"129","Maldives","","91.3","0.0"
"129","Marshall Islands","","88.4","0.0"
"129","Monaco","","-","0.0"
"129","Macao","","-","0.0"
"129","Saint Martin (French part)","","-","0.0"
