"Rank","Economy","Strength / Weakness","Value","Score"
"1","New Zealand","Strength","1.5","100.0"
"2","Luxembourg","Strength","1.4","97.4"
"3","Austria","Strength","1.3","95.1"
"4","Finland","","1.3","94.8"
"5","Switzerland","","1.2","93.8"
"6","Iceland","Strength","1.2","93.7"
"7","Singapore","","1.2","93.4"
"8","Canada","Strength","1.2","92.1"
"9","Norway","","1.1","91.0"
"10","Hong Kong (China)","","1.1","90.9"
"11","Malta","","1.1","90.6"
"12","Australia","","1.1","89.8"
"13","Sweden","","1.1","89.6"
"14","Ireland","","1.1","89.4"
"15","Netherlands","","1.0","88.9"
"16","Botswana","Strength","1.0","88.3"
"17","Slovakia","Strength","1.0","88.3"
"18","Japan","","1.0","88.2"
"19","Uruguay","Strength","1.0","87.7"
"20","Qatar","","1.0","87.7"
"21","Bhutan","Strength","1.0","87.6"
"22","Czech Republic","","1.0","86.9"
"23","Denmark","","0.9","86.3"
"24","Germany","","0.9","86.1"
"25","Mongolia","","0.9","84.4"
"26","Poland","Strength","0.9","84.4"
"27","United Arab Emirates","","0.8","83.1"
"28","Slovenia","","0.8","82.6"
"29","Portugal","","0.8","82.6"
"30","Lithuania","","0.8","82.4"
"31","Estonia","","0.8","81.8"
"32","Mauritius","","0.7","81.2"
"33","Belgium","","0.7","80.6"
"34","Hungary","","0.7","80.3"
"35","Cyprus","","0.7","79.9"
"36","Oman","Strength","0.7","79.2"
"37","Costa Rica","","0.6","78.5"
"38","United States of America","","0.6","78.3"
"39","Namibia","Strength","0.6","78.2"
"40","Croatia","","0.6","77.8"
"41","Latvia","","0.6","76.7"
"42","Italy","","0.5","75.2"
"43","Chile","","0.5","75.1"
"44","Albania","","0.5","74.6"
"45","United Kingdom","Weakness","0.4","73.8"
"46","France","","0.4","71.7"
"47","Malaysia","","0.3","71.3"
"48","Spain","","0.3","70.7"
"49","The Former Yugoslav Republic (FYR) of Macedonia","","0.2","69.1"
"50","Montenegro","","0.2","68.7"
"51","Zambia","Strength","0.2","68.0"
"52","Dominican Republic","Strength","0.2","67.5"
"53","Korea, Republic of","","0.2","67.5"
"54","Serbia","","0.2","67.3"
"55","Kuwait","","0.1","66.2"
"56","Belarus","","0.1","65.9"
"57","Malawi","Strength","0.1","65.8"
"58","Panama","","0.1","65.3"
"59","Jamaica","","0.1","65.0"
"60","Bulgaria","","0.1","64.9"
"61","Romania","","0.1","64.8"
"62","Argentina","","0.1","64.7"
"63","Kazakhstan","","0.1","64.2"
"64","Benin","","0.0","64.1"
"65","Greece","","0.0","63.5"
"66","Viet Nam","","0.0","62.8"
"67","Ecuador","","0.0","62.6"
"68","Brazil","","0.0","62.5"
"69","Cambodia","","0.0","61.9"
"70","Nicaragua","","0.0","61.7"
"71","Bosnia and Herzegovina","","-0.1","61.3"
"72","South Africa","","-0.1","61.0"
"73","Rwanda","","-0.1","60.4"
"74","Moldova, Republic of","","-0.1","60.3"
"75","Senegal","","-0.1","59.7"
"76","Ghana","","-0.1","59.6"
"77","El Salvador","","-0.1","59.1"
"78","Togo","Strength","-0.2","58.8"
"79","Paraguay","","-0.2","57.9"
"80","Armenia","","-0.2","57.7"
"81","Georgia","","-0.2","57.1"
"82","Saudi Arabia","","-0.2","56.9"
"83","Sri Lanka","","-0.3","56.6"
"84","Mozambique","","-0.4","54.1"
"85","Bolivia, Plurinational State of","","-0.4","53.9"
"86","Indonesia","","-0.4","53.7"
"87","Morocco","","-0.4","53.0"
"88","China","","-0.5","51.3"
"89","Azerbaijan","","-0.5","50.4"
"90","Honduras","","-0.5","50.1"
"91","Peru","","-0.5","49.9"
"92","Tanzania, United Republic of","","-0.5","49.5"
"93","Madagascar","","-0.5","49.3"
"94","Jordan","","-0.6","48.9"
"95","Guatemala","","-0.6","46.9"
"96","Tajikistan","","-0.7","46.0"
"97","Philippines","","-0.7","45.4"
"98","Nepal","","-0.7","45.4"
"99","Mexico","","-0.8","44.0"
"100","Kyrgyzstan","","-0.8","43.3"
"101","Burkina Faso","","-0.8","43.3"
"102","Venezuela, Bolivarian Republic of","","-0.8","42.3"
"103","Russian Federation","Weakness","-0.8","42.0"
"104","Bangladesh","","-0.9","41.1"
"105","Burundi","","-0.9","40.6"
"106","Iran, Islamic Republic of","","-0.9","40.3"
"107","Thailand","Weakness","-0.9","40.3"
"108","Uganda","","-0.9","39.7"
"109","Guinea","","-0.9","39.7"
"110","Tunisia","Weakness","-0.9","39.6"
"111","Bahrain","Weakness","-0.9","39.4"
"112","Cameroon","","-0.9","39.4"
"113","India","Weakness","-1.0","38.9"
"114","Israel","Weakness","-1.0","38.1"
"115","Côte d'Ivoire","","-1.0","37.6"
"116","Turkey","Weakness","-1.1","36.5"
"117","Colombia","Weakness","-1.1","35.0"
"118","Algeria","","-1.2","33.7"
"119","Ethiopia","","-1.2","32.0"
"120","Niger","","-1.3","31.3"
"121","Kenya","Weakness","-1.3","31.3"
"122","Egypt","Weakness","-1.6","23.5"
"123","Lebanon","Weakness","-1.7","20.0"
"124","Mali","Weakness","-1.7","19.6"
"125","Ukraine","Weakness","-1.9","14.9"
"126","Nigeria","Weakness","-2.1","10.5"
"127","Pakistan","Weakness","-2.4","2.3"
"128","Yemen","Weakness","-2.5","0.0"
